"id_persona_pr","nme_genero_pr","id_niv_form_pr","id_clas_pr","edad_anos_pr","nme_region_gr","nme_area_gr","Actividades","LugarActualTrabajo","cant_libros","cant_lineas","cant_tgs","cant_art"
107215,"femenino","3","ij",34,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
108260,"femenino","2","ij",65,"region eje cafetero","medicina clinica","Actividades de docencia","Universidad","No especificado","No especificado","No especificado","Más de 45"
108788,"masculino","2","ij",28,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
109258,"femenino","3","i",44,"centro oriente","medicina clinica","Actividades de administración","Universidad","1 libro","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
109975,"femenino","4","i",49,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
111333,"masculino","4","i",57,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Más de 45"
111368,"femenino","3","ij",56,"region eje cafetero","ciencias de la salud","Actividades de docencia","Universidad","1 libro","4 o más líneas","No especificado","Entre 31 y 45"
111872,"femenino","4","ij",44,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
112151,"femenino","4","is",46,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","3 líneas","Entre 16 y 30","Más de 45"
115128,"masculino","3","i",36,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
115417,"femenino","4","ij",36,"exterior","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
115685,"masculino","4","ij",36,"centro oriente","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","15 o menos","15 o menos"
116604,"masculino","5","ij",48,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
116841,"femenino","3","ij",73,"centro oriente","ciencias de la salud","No especificado","No especificado","No especificado","2 líneas","No especificado","15 o menos"
117683,"masculino","1","ij",38,"exterior","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","Entre 16 y 30"
122063,"masculino","4","ij",32,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
125157,"femenino","3","i",49,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
125783,"femenino","3","i",33,"region caribe","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
130656,"femenino","4","i",36,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
131989,"masculino","d","ij",36,"centro sur","medicina clinica","Actividades de administración","Otras IE","1 libro","No especificado","15 o menos","15 o menos"
136411,"masculino","3","ij",70,"region eje cafetero","ciencias de la salud","No especificado","Centro de investigación","No especificado","1 línea","15 o menos","Más de 45"
139947,"femenino","3","ij",47,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
139998,"masculino","4","is",46,"region eje cafetero","medicina clinica","No especificado","Otros lugares","No especificado","4 o más líneas","Entre 16 y 30","Más de 45"
140066,"femenino","4","is",46,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
140228,"femenino","4","is",50,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
140311,"masculino","d","ij",32,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
140350,"masculino","4","is",49,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
140422,"masculino","2","is",58,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
140562,"masculino","4","ij",38,"exterior","ciencias de la salud","No especificado","Universidad","1 libro","4 o más líneas","15 o menos","15 o menos"
140767,"femenino","4","is",45,"region eje cafetero","ciencias de la salud","Actividades de administración","Otras IE","2 libros","4 o más líneas","Entre 16 y 30","Más de 45"
140910,"femenino","3","is",66,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
141070,"masculino","4","is",46,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
141202,"masculino","4","ij",38,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
141356,"masculino","3","i",46,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
141410,"masculino","3","ij",62,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
141429,"masculino","4","is",60,"region caribe","ciencias de la salud","Actividades de investigación","Otros lugares","3 o más libros","4 o más líneas","Entre 31 y 45","Más de 45"
141674,"femenino","4","ij",47,"region eje cafetero","medicina basica","Actividades de administración","Universidad","2 libros","4 o más líneas","Entre 31 y 45","Más de 45"
141682,"masculino","3","is",52,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","1 libro","No especificado","Entre 16 y 30","Más de 45"
142603,"masculino","4","is",59,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
142620,"masculino","4","is",53,"distrito capital","ingenieria medica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
142700,"masculino","4","is",59,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","3 líneas","Entre 16 y 30","Más de 45"
142832,"masculino","4","is",60,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
142972,"femenino","3","i",64,"region eje cafetero","medicina clinica","Actividades de administración","Otras IE","3 o más libros","3 líneas","Entre 16 y 30","Entre 31 y 45"
143120,"masculino","4","is",43,"exterior","ciencias de la salud","No especificado","Universidad","No especificado","1 línea","15 o menos","Entre 31 y 45"
143200,"femenino","4","i",42,"region eje cafetero","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
143219,"femenino","4","ij",37,"region eje cafetero","ciencias de la salud","Actividades de administración","Otras IE","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
143669,"masculino","5","ij",60,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
143693,"femenino","4","is",49,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
144274,"femenino","3","is",52,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
144592,"masculino","d","ij",59,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145050,"masculino","4","is",45,"region caribe","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145076,"femenino","3","i",57,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145122,"masculino","3","i",54,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145149,"femenino","3","i",51,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145262,"femenino","3","i",61,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145394,"masculino","4","is",46,"centro oriente","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
145600,"femenino","3","ij",35,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
146005,"femenino","3","i",50,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","Entre 16 y 30"
146048,"masculino","3","i",68,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
146056,"femenino","5","is",47,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","4 o más líneas","Más de 45","Más de 45"
146200,"masculino","4","ij",36,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","Entre 16 y 30"
146234,"femenino","4","ij",45,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
146285,"femenino","3","ij",55,"region eje cafetero","ciencias de la salud","Actividades de docencia","Universidad","3 o más libros","3 líneas","15 o menos","15 o menos"
146463,"masculino","4","i",46,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
147093,"femenino","4","ij",63,"centro oriente","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
147133,"masculino","4","is",60,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
147150,"masculino","2","ij",57,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
147257,"femenino","4","i",55,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
147370,"masculino","3","is",38,"region caribe","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Más de 45"
147400,"femenino","4","ij",41,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Entre 16 y 30"
148121,"femenino","d","ij",38,"region eje cafetero","medicina clinica","No especificado","Hospital / Clínica","No especificado","1 línea","15 o menos","Entre 31 y 45"
148130,"femenino","4","ij",42,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
148407,"femenino","4","ij",46,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
149004,"femenino","3","ij",55,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
149020,"masculino","5","ij",64,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","No especificado","No especificado","15 o menos"
149314,"femenino","4","is",58,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","2 líneas","Entre 16 y 30","Más de 45"
149837,"femenino","4","is",57,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
149934,"masculino","3","ij",76,"region del llano","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
149977,"femenino","4","i",63,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
150053,"femenino","2","ij",47,"region eje cafetero","ciencias de la salud","Actividades de administración","Otras IE","3 o más libros","1 línea","Entre 16 y 30","Más de 45"
150215,"femenino","3","i",57,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
150223,"femenino","3","ij",57,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","Entre 31 y 45"
150479,"femenino","4","is",51,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Más de 45"
150680,"femenino","3","ij",28,"centro sur","ciencias de la salud","Actividades de administración","Otras IE","No especificado","2 líneas","Más de 45","Entre 16 y 30"
150738,"masculino","3","ij",57,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
150770,"masculino","3","i",52,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151076,"masculino","4","is",62,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","1 línea","Entre 16 y 30","Más de 45"
151270,"femenino","4","ij",48,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151408,"femenino","4","ij",42,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151432,"masculino","3","ij",41,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151670,"femenino","4","is",42,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151777,"masculino","3","is",53,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
151807,"femenino","4","ij",51,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
152013,"femenino","4","is",50,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","2 libros","2 líneas","Más de 45","15 o menos"
152102,"masculino","4","is",53,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
152145,"femenino","d","ij",49,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
152447,"femenino","4","is",60,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
152617,"masculino","3","is",55,"region eje cafetero","medicina clinica","Actividades de investigación","Hospital / Clínica","1 libro","4 o más líneas","Más de 45","Más de 45"
152650,"femenino","4","i",50,"region pacifico","ciencias de la salud","Actividades de docencia","Universidad","1 libro","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
153036,"femenino","4","i",76,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Entre 31 y 45"
153040,"femenino","4","ij",32,"region caribe","ciencias de la salud","No especificado","No especificado","1 libro","2 líneas","Entre 16 y 30","15 o menos"
153281,"femenino","3","i",61,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
153974,"femenino","3","i",61,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
154016,"femenino","4","is",72,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 31 y 45","Entre 31 y 45"
154512,"femenino","d","ij",69,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
154539,"masculino","3","is",62,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
154547,"masculino","3","is",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
155004,"masculino","4","i",40,"region eje cafetero","medicina clinica","Actividades de docencia","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
155063,"femenino","3","ij",56,"region caribe","psicologia","Actividades de administración","Universidad","3 o más libros","1 línea","Entre 16 y 30","15 o menos"
155179,"masculino","4","is",50,"exterior","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
155357,"femenino","4","ij",42,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
155420,"femenino","4","ij",43,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
156760,"masculino","4","is",53,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
156876,"masculino","4","i",48,"region pacifico","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
156892,"femenino","4","i",62,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
156930,"masculino","5","is",55,"region pacifico","medicina clinica","Actividades de administración","Universidad","2 libros","4 o más líneas","15 o menos","Entre 31 y 45"
156949,"femenino","5","i",51,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 31 y 45"
157007,"femenino","3","i",51,"region pacifico","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
157236,"masculino","4","is",54,"centro sur","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
157740,"femenino","4","ij",61,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
157775,"masculino","4","ij",41,"region eje cafetero","medicina basica","No especificado","Universidad","No especificado","4 o más líneas","15 o menos","Entre 31 y 45"
158208,"femenino","3","ij",64,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
158402,"femenino","4","ij",63,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
158461,"femenino","4","is",53,"exterior","ciencias de la salud","Actividades de docencia","Universidad","No especificado","4 o más líneas","Más de 45","Más de 45"
158712,"masculino","4","is",56,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
158739,"masculino","4","ij",52,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
159107,"femenino","4","is",62,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
159352,"femenino","3","ij",53,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
159638,"femenino","3","i",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
159883,"femenino","4","is",61,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
159888,"masculino","4","ij",43,"region caribe","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
160113,"femenino","4","i",50,"region eje cafetero","ciencias de la salud","No especificado","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
160135,"masculino","d","ij",31,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
160628,"femenino","4","is",59,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
161012,"femenino","4","i",59,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
161250,"masculino","4","is",46,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
161292,"femenino","4","is",58,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
161314,"femenino","4","ij",63,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
161721,"masculino","5","is",55,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
163767,"femenino","4","ij",51,"region eje cafetero","ciencias de la salud","Actividades de docencia","Universidad","No especificado","4 o más líneas","15 o menos","Entre 16 y 30"
163791,"femenino","4","ij",50,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
163996,"femenino","4","i",61,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
164020,"femenino","4","i",39,"region eje cafetero","medicina basica","No especificado","Universidad","No especificado","1 línea","Entre 16 y 30","Entre 16 y 30"
164992,"masculino","4","is",60,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","2 líneas","Más de 45","Más de 45"
165336,"masculino","5","is",43,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
165921,"masculino","3","is",62,"centro oriente","medicina basica","Actividades de docencia","Universidad","No especificado","2 líneas","15 o menos","Más de 45"
166456,"masculino","4","is",54,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 31 y 45","Más de 45"
167789,"femenino","4","i",63,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
168041,"masculino","3","i",41,"region eje cafetero","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
168130,"masculino","5","is",40,"centro oriente","medicina basica","No especificado","Hospital / Clínica","No especificado","4 o más líneas","15 o menos","Más de 45"
168165,"femenino","4","ij",43,"region pacifico","ciencias de la salud","Actividades de administración","Centro de investigación","No especificado","2 líneas","15 o menos","15 o menos"
168327,"femenino","4","is",45,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
168602,"masculino","5","i",52,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","Más de 45"
168700,"masculino","3","is",49,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
168785,"femenino","4","ij",40,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","15 o menos"
168823,"masculino","3","is",53,"centro oriente","medicina clinica","No especificado","Centro de investigación","No especificado","4 o más líneas","15 o menos","Más de 45"
169072,"femenino","4","ij",38,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","Entre 31 y 45"
169340,"femenino","4","is",56,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
169633,"masculino","4","ij",61,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","1 libro","2 líneas","Entre 31 y 45","Más de 45"
170240,"masculino","3","i",51,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
170429,"masculino","4","is",51,"distrito capital","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
170984,"masculino","4","ij",49,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","No especificado","1 línea","Entre 31 y 45","15 o menos"
171069,"femenino","4","i",49,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 31 y 45","Entre 16 y 30"
171620,"masculino","4","i",40,"region eje cafetero","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
171808,"femenino","4","i",53,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
171891,"masculino","4","ij",59,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","15 o menos"
172146,"femenino","4","ij",45,"region pacifico","otras ciencias medicas","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
172162,"femenino","4","is",57,"region pacifico","ciencias de la salud","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Más de 45"
172570,"femenino","4","ij",61,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
173100,"masculino","4","is",60,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
173223,"masculino","3","is",53,"region eje cafetero","medicina clinica","No especificado","Hospital / Clínica","2 libros","3 líneas","Entre 16 y 30","Más de 45"
173232,"masculino","1","ij",35,"region eje cafetero","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
173339,"femenino","4","is",65,"region pacifico","ciencias de la salud","No especificado","Universidad","3 o más libros","4 o más líneas","Más de 45","Entre 31 y 45"
173410,"masculino","4","is",64,"region eje cafetero","ciencias de la salud","No especificado","Otras IE","1 libro","4 o más líneas","Entre 16 y 30","Más de 45"
173681,"femenino","3","ij",54,"centro oriente","ciencias de la salud","Actividades de administración","Centro de investigación","2 libros","4 o más líneas","15 o menos","Entre 16 y 30"
174084,"masculino","4","is",55,"region eje cafetero","ciencias de la salud","Actividades de investigación","Hospital / Clínica","2 libros","3 líneas","Entre 16 y 30","Más de 45"
174203,"femenino","3","ij",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
174580,"femenino","4","i",48,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Entre 31 y 45"
174734,"masculino","d","i",59,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","1 libro","1 línea","Entre 16 y 30","Entre 16 y 30"
174742,"masculino","4","ij",40,"distrito capital","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
174769,"masculino","d","i",51,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
175110,"masculino","3","ij",47,"region pacifico","ciencias de la salud","No especificado","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
175501,"masculino","3","i",53,"region eje cafetero","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
176176,"masculino","3","is",62,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","15 o menos","Más de 45"
176354,"masculino","4","is",52,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Más de 45","Más de 45"
176451,"femenino","3","i",62,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
176826,"femenino","3","i",58,"region caribe","ciencias de la salud","Actividades de docencia","Universidad","2 libros","4 o más líneas","Más de 45","Entre 16 y 30"
177520,"femenino","3","i",75,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
177652,"femenino","4","i",56,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","1 libro","4 o más líneas","15 o menos","Entre 31 y 45"
177768,"femenino","3","ij",68,"region eje cafetero","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
178004,"masculino","3","ij",57,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 16 y 30","Entre 31 y 45"
178160,"masculino","4","ij",63,"region eje cafetero","ciencias de la salud","Actividades de administración","Universidad","No especificado","1 línea","15 o menos","Entre 16 y 30"
179205,"femenino","d","ij",45,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
179361,"masculino","4","ij",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
179957,"masculino","4","ij",54,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
180157,"femenino","4","is",50,"region eje cafetero","medicina basica","Actividades de administración","Universidad","2 libros","1 línea","Entre 16 y 30","Entre 31 y 45"
180262,"femenino","4","ij",53,"region pacifico","ciencias de la salud","Actividades de docencia","Universidad","3 o más libros","4 o más líneas","15 o menos","Entre 16 y 30"
180459,"femenino","3","i",44,"centro oriente","medicina clinica","Actividades de administración","Universidad","No especificado","1 línea","Entre 31 y 45","15 o menos"
181935,"femenino","4","is",54,"centro oriente","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
182214,"masculino","5","is",57,"distrito capital","ingenieria medica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
182281,"femenino","4","i",56,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
182583,"femenino","d","ij",53,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
184080,"femenino","4","ij",52,"region caribe","psicologia","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
184101,"masculino","4","ij",51,"region pacifico","biotecnologia en salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
184267,"femenino","3","ij",35,"region caribe","psicologia","No especificado","Otras IE","1 libro","2 líneas","No especificado","No especificado"
184322,"masculino","d","ij",95,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
184446,"femenino","3","is",62,"region eje cafetero","medicina clinica","Actividades de administración","Universidad","3 o más libros","4 o más líneas","Entre 31 y 45","Más de 45"
184969,"masculino","5","is",56,"distrito capital","medicina basica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
185060,"masculino","3","ij",49,"distrito capital","ciencias de la salud","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
185370,"masculino","3","i",46,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
185680,"masculino","4","is",59,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","4 o más líneas","15 o menos","Entre 16 y 30"
186260,"masculino","3","ij",57,"distrito capital","medicina clinica","No especificado","No especificado","No especificado","No especificado","No especificado","No especificado"
186384,"femenino","4","is",48,"region eje cafetero","medicina basica","Actividades de administración","Universidad","No especificado","4 o más líneas","Entre 16 y 30","Entre 16 y 30"
